query_id,api,run_index,runtime_seconds,result_rows,shuffle_read_bytes,shuffle_write_bytes,peak_memory_bytes,notes
q01,dataframe,1,3.0112,805549,472,472,0,
q01,dataframe,2,0.7314,805549,472,472,0,
q01,dataframe,3,0.5193,805549,472,472,0,
q01,sql,1,0.5247,805549,472,472,0,
q01,sql,2,0.4711,805549,472,472,0,
q01,sql,3,0.4646,805549,472,472,0,
q01,rdd,1,3.4764,805549,0,0,0,
q01,rdd,2,3.3355,805549,0,0,0,
q01,rdd,3,3.4349,805549,0,0,0,
q02,dataframe,1,0.5955,1,736,368,0,
q02,dataframe,2,0.5229,1,736,368,0,
q02,dataframe,3,0.4577,1,736,368,0,
q02,sql,1,0.1583,1,59,59,0,
q02,sql,2,0.1106,1,59,59,0,
q02,sql,3,0.0930,1,59,59,0,
q02,rdd,1,6.5409,1,1042237,633195,0,
q02,rdd,2,6.4021,1,1042237,633195,0,
q02,rdd,3,6.3758,1,1042237,633195,0,
q03,dataframe,1,0.8254,546,15970,15970,262144,
q03,dataframe,2,0.6457,546,15970,15970,262144,
q03,dataframe,3,0.7182,546,15970,15970,262144,
q03,sql,1,0.6106,546,15970,15970,262144,
q03,sql,2,0.6722,546,15970,15970,262144,
q03,sql,3,0.6919,546,15970,15970,262144,
q03,rdd,1,4.9051,546,561373,196047,0,
q03,rdd,2,4.8516,546,561373,196047,0,
q03,rdd,3,4.9089,546,561373,196047,0,
q04,dataframe,1,0.7244,10,962580,962580,8650736,
q04,dataframe,2,0.5888,10,962580,962580,8650736,
q04,dataframe,3,0.5906,10,962580,962580,8650736,
q04,sql,1,0.5806,10,962580,962580,8650736,
q04,sql,2,0.5589,10,962580,962580,8650736,
q04,sql,3,0.5878,10,962580,962580,8650736,
q04,rdd,1,3.8054,10,678374,678374,0,
q04,rdd,2,3.7076,10,678374,678374,0,
q04,rdd,3,3.7558,10,678374,678374,0,
q05,dataframe,1,0.4987,25,1891,1891,262144,
q05,dataframe,2,0.4952,25,1891,1891,262144,
q05,dataframe,3,0.5274,25,1891,1891,262144,
q05,sql,1,0.5434,25,1891,1891,262144,
q05,sql,2,0.4931,25,1891,1891,262144,
q05,sql,3,0.5339,25,1891,1891,262144,
q05,rdd,1,3.5908,25,3477,1723,0,
q05,rdd,2,3.5671,25,3477,1723,0,
q05,rdd,3,3.5835,25,3477,1723,0,
q06,dataframe,1,0.6971,148,233455,233455,17301472,
q06,dataframe,2,0.9027,148,233455,233455,17301472,
q06,dataframe,3,0.6378,148,233455,233455,17301472,
q06,sql,1,0.5615,148,233455,233455,17301472,
q06,sql,2,0.6990,148,233455,233455,17301472,
q06,sql,3,0.5676,148,233455,233455,17301472,
q06,rdd,1,3.6130,148,227826,227826,0,
q06,rdd,2,3.6033,148,227826,227826,0,
q06,rdd,3,3.5695,148,227826,227826,0,
q07,dataframe,1,0.9456,1151,395455,395455,8650736,
q07,dataframe,2,0.9160,1151,395455,395455,8650736,
q07,dataframe,3,0.9081,1151,395455,395455,8650736,
q07,sql,1,0.7934,1151,395455,197791,8650736,
q07,sql,2,0.6685,1151,395455,197791,8650736,
q07,sql,3,0.5080,1151,395455,197791,8650736,
q07,rdd,1,3.5447,1151,134706,134706,0,
q07,rdd,2,3.5314,1151,134706,134706,0,
q07,rdd,3,3.5201,1151,134706,134706,0,
q08,dataframe,1,1.2353,5,2153,2153,17041376,
q08,dataframe,2,1.0758,5,2153,2153,17041376,
q08,dataframe,3,0.9637,5,2153,2153,17041376,
q08,sql,1,0.9221,5,2153,2153,17041376,
q08,sql,2,0.9551,5,2153,2153,17041376,
q08,sql,3,0.9073,5,2153,2153,17041376,
q08,rdd,1,3.9319,5,93389,90053,0,
q08,rdd,2,3.8996,5,93389,90053,0,
q08,rdd,3,3.9189,5,93389,90053,0,
q09,dataframe,1,0.9188,9374,609464,454091,18874336,
q09,dataframe,2,0.7918,9374,609464,454091,18874336,
q09,dataframe,3,0.7437,9374,609464,454091,18874336,
q09,sql,1,0.8010,9374,609464,454091,18874336,
q09,sql,2,0.7142,9374,609464,454091,18874336,
q09,sql,3,0.7019,9374,609464,454091,18874336,
q09,rdd,1,3.8821,9374,2614507,1309127,0,
q09,rdd,2,3.8625,9374,2614507,1309127,0,
q09,rdd,3,3.8222,9374,2614507,1309127,0,
q10,dataframe,1,0.9298,5878,91234,91234,8650736,
q10,dataframe,2,0.9335,5878,91234,91234,8650736,
q10,dataframe,3,0.9829,5878,91234,91234,8650736,
q10,sql,1,0.5609,5878,90770,90770,8650736,
q10,sql,2,0.5537,5878,90770,90770,8650736,
q10,sql,3,0.5229,5878,90770,90770,8650736,
q10,rdd,1,5.4914,5878,5266950,5266950,0,
q10,rdd,2,5.5139,5878,5266950,5266950,0,
q10,rdd,3,5.5161,5878,5266950,5266950,0,
